,Gini
0,0.0
1,0.32720000000000005
2,0.3944
3,0.38480000000000003
4,0.41359999999999997
5,0.48240000000000005
6,0.48240000000000005
7,0.49040000000000006
8,0.46640000000000004
9,0.4728
10,0.5096
11,0.5576000000000001
12,0.5856
13,0.5632
14,0.5632
15,0.5608
16,0.5464
17,0.5608
18,0.54
19,0.5512
20,0.6024
21,0.5920000000000001
22,0.6024
23,0.6456
24,0.6456
25,0.6384000000000001
26,0.6295999999999999
27,0.6424000000000001
28,0.6176
29,0.6328
30,0.672
31,0.6776
32,0.6624000000000001
33,0.6552
34,0.6016
35,0.5920000000000001
36,0.5704
37,0.5664
38,0.6312
39,0.6424000000000001
40,0.6752
41,0.6896
42,0.6984
43,0.6768000000000001
44,0.644
45,0.6024
46,0.6504000000000001
47,0.6536
48,0.6448
49,0.6696
50,0.664
51,0.6976
52,0.6728000000000001
53,0.6432
54,0.7
55,0.704
56,0.6848000000000001
57,0.676
58,0.6192
59,0.5936
60,0.6120000000000001
61,0.6136
62,0.5856
63,0.6144000000000001
64,0.5752
65,0.5936
66,0.632
67,0.6904
68,0.6416
69,0.6728000000000001
70,0.6656
71,0.6664
72,0.6592
73,0.6352
74,0.648
75,0.6368
76,0.6248
77,0.6616
78,0.6392
79,0.6672
80,0.6848000000000001
81,0.6728000000000001
82,0.6792
83,0.712
84,0.6912
85,0.6936
86,0.7208
87,0.7216
88,0.7288
89,0.7112
90,0.6856
91,0.7104
92,0.7064
93,0.7104
94,0.7168
95,0.676
96,0.7168
97,0.7232000000000001
98,0.7248
99,0.7208
